#HM Med_All Med_Cen Med_Sat Med_SF Med_Q Cen-All Sat-All SF-All Q-All Cen-Sat SF-Q True True_Cen
9.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.114822 -0.111203
9.300000 -0.210290 -0.102062 -0.429975 -0.284363 -0.070429 0.000000 -0.219685 0.000000 0.139861 0.327913 -0.213934 -0.325458 -0.319292
9.500000 -0.416005 -0.315529 -0.627011 -0.479655 -0.288453 0.100475 -0.211006 -0.063651 0.127552 0.311481 -0.191203 -0.535992 -0.527295
9.700000 -0.607291 -0.519168 -0.741083 -0.664474 -0.450599 0.088123 -0.133792 -0.057182 0.156692 0.221915 -0.213874 -0.693534 -0.692920
9.900000 -0.232916 -0.179631 -0.215990 -0.279399 -0.107822 0.053285 0.016927 -0.046483 0.125094 0.036359 -0.171576 -0.185407 -0.203079
10.100000 -0.004001 0.039247 -0.019711 -0.036654 0.084918 0.043247 -0.015710 -0.032653 0.088919 0.058957 -0.121572 0.034108 0.016679
10.300000 0.024047 0.056098 -0.003769 0.001155 0.099939 0.032051 -0.027817 -0.022892 0.075891 0.059868 -0.098783 0.056405 0.038007
10.500000 0.010791 0.031907 -0.014540 -0.003495 0.072781 0.021116 -0.025331 -0.014286 0.061990 0.046448 -0.076276 0.038320 0.019358
10.700000 -0.005270 -0.000192 -0.001168 -0.014199 0.045954 0.005078 0.004102 -0.008929 0.051224 0.000976 -0.060153 0.017640 -0.006700
10.900000 -0.011180 -0.025567 0.021865 -0.019379 0.023615 -0.014387 0.033045 -0.008199 0.034795 -0.047432 -0.042994 0.007694 -0.026260
11.100000 -0.010913 -0.028476 0.012017 -0.019496 -0.012405 -0.017563 0.022930 -0.008583 -0.001492 -0.040493 -0.007091 0.006898 -0.022762
11.300000 -0.001351 -0.009452 0.017586 -0.010977 -0.023402 -0.008101 0.018937 -0.009626 -0.022051 -0.027038 0.012425 0.016736 0.002903
11.500000 0.000340 0.003627 0.008531 -0.004843 -0.009372 0.003287 0.008191 -0.005182 -0.009711 -0.004904 0.004529 0.013915 0.018481
11.700000 -0.015972 -0.010397 -0.014032 -0.015039 0.021317 0.005575 0.001939 0.000932 0.037288 0.003636 -0.036356 -0.013122 0.000943
11.900000 -0.030375 -0.028351 -0.023026 -0.027010 0.037452 0.002024 0.007350 0.003365 0.067827 -0.005326 -0.064462 -0.035100 -0.027900
12.100000 -0.018144 -0.020659 -0.002449 -0.021859 0.043391 -0.002516 0.015694 -0.003715 0.061535 -0.018210 -0.065250 -0.018496 -0.025879
12.300000 0.003358 0.001627 0.013997 -0.015371 0.025720 -0.001730 0.010639 -0.018729 0.022362 -0.012369 -0.041091 0.014581 -0.001315
12.500000 0.022486 0.021357 0.023283 0.006577 0.003727 -0.001128 0.000798 -0.015909 -0.018759 -0.001926 0.002850 0.040056 0.026228
12.700000 0.009687 0.004294 0.007190 0.013130 -0.029550 -0.005393 -0.002496 0.003443 -0.039236 -0.002897 0.042680 0.027756 0.017286
12.900000 0.013040 0.006162 -0.003731 0.029451 -0.023569 -0.006878 -0.016771 0.016410 -0.036610 0.009892 0.053020 0.020344 0.012304
13.100000 0.006859 -0.002718 -0.001890 0.019128 -0.012656 -0.009577 -0.008749 0.012269 -0.019515 -0.000828 0.031784 0.008364 0.000247
13.300000 0.014800 0.005039 0.035192 0.040012 0.003617 -0.009761 0.020392 0.025212 -0.011184 -0.030153 0.036395 0.014507 0.007252
13.500000 0.008704 0.008434 0.001143 0.015532 0.008137 -0.000270 -0.007562 0.006828 -0.000567 0.007292 0.007395 0.004420 0.004556
13.700000 -0.007210 -0.005018 -0.018928 0.015513 -0.007871 0.002192 -0.011717 0.022723 -0.000661 0.013910 0.023384 -0.001556 0.000749
13.900000 0.015173 0.018924 0.011990 -0.019117 0.023327 0.003751 -0.003183 -0.034290 0.008153 0.006934 -0.042443 0.006619 0.018623
14.100000 0.017347 0.011355 0.013765 0.135436 0.018584 -0.005992 -0.003582 0.118088 0.001237 -0.002410 0.116852 -0.001845 -0.007421
14.300000 -0.008596 -0.013278 -0.026195 0.000000 -0.007141 -0.004682 -0.017599 0.000000 0.001456 0.012917 0.000000 0.015923 0.017194
14.500000 -0.013368 -0.018638 0.000000 0.000000 -0.011692 -0.005270 0.000000 0.000000 0.001676 0.000000 0.000000 -0.024455 -0.032848
14.700000 0.034886 0.029991 0.000000 0.000000 0.031457 0.000000 0.000000 0.000000 -0.003429 0.000000 0.000000 0.028102 0.026131
14.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
15.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
