#HM(0) Cen_All(1) Err+(2) Err-(3) Sat_All(4) Err+(5) Err-(6) SF_All(7) Err+(8) Err-(9) Q_All(10) Err+(11) Err-(12) Cen_Sat(13) Err+(14) Err-(15) SF_Q(16) Err+(17) Err-(18) 
9.100000 -0.000821 0.000817 0.000174 0.130514 0.015893 0.126953 -0.000106 0.000615 0.001823 0.021072 0.142445 0.049466 -0.131335 0.127770 0.016115 -0.021179 0.049992 0.145642
9.300000 -0.000924 0.000916 0.000061 0.173682 0.015082 0.133910 0.000349 0.003393 0.000561 -0.077398 0.171839 0.110569 -0.174606 0.134826 0.015114 0.077746 0.113962 0.172188
9.500000 -0.001383 0.000362 0.000113 0.173777 0.010429 0.049424 0.001215 0.020265 0.001217 -0.281800 0.281800 0.325799 -0.175160 0.049639 0.010416 0.283015 0.358087 0.283015
9.700000 -0.000826 0.000653 0.000227 0.052956 0.022314 0.039317 0.002779 0.034163 0.002779 -0.389724 0.389724 0.519961 -0.053782 0.039959 0.022680 0.392503 0.553169 0.392503
9.900000 -0.001515 0.001686 0.000799 0.058309 0.040203 0.069891 0.002058 0.027281 0.002137 -0.186869 0.199987 0.402809 -0.059824 0.071433 0.041002 0.188927 0.416775 0.202182
10.100000 0.000097 0.001944 0.000698 0.003003 0.017847 0.065656 0.001964 0.031483 0.002239 -0.137857 0.189230 0.285650 -0.002906 0.067236 0.018509 0.139821 0.303515 0.191512
10.300000 0.000533 0.001594 0.001087 -0.012195 0.028336 0.045738 0.002209 0.032333 0.002353 -0.109519 0.109519 0.323458 0.012728 0.046571 0.029189 0.111727 0.350434 0.111727
10.500000 0.001957 0.001028 0.001089 -0.007625 0.001889 0.060107 0.005088 0.031158 0.004909 -0.243715 0.243715 0.253991 0.009582 0.061291 0.002111 0.248802 0.282841 0.248802
10.700000 -0.001759 0.000477 0.003976 0.153950 0.036557 0.070146 0.007680 0.038307 0.007680 0.008209 -0.008209 0.438233 -0.155709 0.070441 0.036216 -0.000529 0.474879 -0.000529
10.900000 -0.001996 0.009575 0.003219 0.000000 0.000000 0.000000 -0.001255 0.046183 0.000499 0.000000 0.000000 0.368263 0.000000 0.000000 0.000000 0.000000 0.435228 0.000000
11.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.005089 0.050320 -0.000929 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
11.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
