#HM(0) Med_All(1) Err+(2) Err-(3) Med_Cen(4) Err+(5) Err-(6) Med_Cen_SF(7) Err+(8) Err-(9) Med_Cen_Q(10) Err+(11) Err-(12) Med_Sat(13) Err+(14) Err-(15) Med_SF(16) Err+(17) Err-(18) Med_Q(19) Err+(20) Err-(21) True_Med_All(22) Err+(23) Err-(24) True_Cen(25) Err+(26) Err-(27) True_Cen_SF(28) Err+(29) Err-(30) True_Cen_Q(31) Err+(32) Err-(33) True_Sat(34) Err+(35) Err-(36) True_SF(37) Err+(38) Err-(39) True_Q(40) Err+(41) Err-(42) 
9.100000 -4.494222 0.001494 0.000431 -4.494227 0.001486 0.000428 -4.494228 0.001483 0.000429 -4.494044 0.179067 0.000598 -4.493788 0.002098 0.000631 -4.494223 0.001492 0.000431 -4.494030 0.181256 0.000613 -4.493448 0.014752 0.000775 -4.493458 0.014679 0.000771 -4.493459 0.015674 0.000762 -4.493870 0.372801 0.000495 -4.492568 0.060277 0.001159 -4.493449 0.016135 0.000765 -4.493867 0.374115 0.000491
9.300000 -4.493054 0.026971 0.000909 -4.493071 0.025643 0.000902 -4.493072 0.026421 0.000901 -4.493038 0.317759 0.001102 -4.491479 0.166185 0.001654 -4.493054 0.027970 0.000909 -4.493020 0.319575 0.001101 -4.471945 0.171942 0.020611 -4.472875 0.170327 0.019706 -4.472860 0.171670 0.019702 -4.477891 0.519586 0.015524 -4.350291 0.230944 0.105484 -4.471928 0.173287 0.020612 -4.477929 0.516508 0.015480
9.500000 -4.412684 0.250034 0.065816 -4.416813 0.248125 0.063780 -4.417007 0.249562 0.061727 -4.379007 0.523397 0.113363 -4.192927 0.272591 0.168591 -4.412878 0.251346 0.064201 -4.374184 0.527242 0.118133 -4.159391 0.206660 0.155884 -4.165540 0.207043 0.156027 -4.165665 0.208064 0.153308 -4.142694 0.513076 0.318344 -3.917274 0.208611 0.155339 -4.159533 0.207626 0.153516 -4.134659 0.499384 0.322645
9.700000 -3.953661 0.234439 0.151921 -3.961744 0.233995 0.152065 -3.962070 0.232992 0.151653 -3.915747 0.443063 0.343201 -3.771236 0.236561 0.169456 -3.954062 0.233464 0.151571 -3.900260 0.443010 0.332869 -3.677738 0.175757 0.149895 -3.685443 0.176254 0.149621 -3.685673 0.194172 0.146242 -3.652745 0.407108 0.325855 -3.494234 0.188086 0.151468 -3.678015 0.193562 0.147033 -3.639385 0.403443 0.313066
9.900000 -3.581058 0.191596 0.148568 -3.589419 0.194891 0.149037 -3.589092 0.194566 0.141535 -3.627503 0.389585 0.217870 -3.456319 0.183311 0.141980 -3.581020 0.191333 0.144356 -3.582396 0.379029 0.229682 -3.306320 0.163862 0.147290 -3.314475 0.163685 0.147227 -3.314078 0.163288 0.137880 -3.355829 0.348454 0.223619 -3.179951 0.159234 0.146273 -3.306209 0.161979 0.138426 -3.315106 0.364600 0.230825
10.100000 -3.351432 0.165512 0.137325 -3.367404 0.167062 0.136711 -3.366184 0.168345 0.134860 -3.482846 0.337619 0.209369 -3.194807 0.162868 0.126655 -3.350914 0.168924 0.135875 -3.385307 0.311874 0.210529 -3.078701 0.152737 0.134531 -3.093564 0.158714 0.135359 -3.092160 0.159453 0.127348 -3.227298 0.337993 0.191760 -2.920175 0.137157 0.148924 -3.077786 0.159770 0.123115 -3.133843 0.302245 0.207807
10.300000 -3.172383 0.138368 0.123087 -3.188888 0.144709 0.126506 -3.187152 0.152547 0.123601 -3.334831 0.331615 0.196692 -3.052710 0.148611 0.119498 -3.170981 0.149463 0.116463 -3.240808 0.281404 0.213152 -2.898165 0.142743 0.128567 -2.913508 0.142705 0.124686 -2.911598 0.152827 0.115335 -3.075577 0.330026 0.192716 -2.777140 0.139992 0.132365 -2.896440 0.151565 0.121933 -2.985899 0.289026 0.189964
10.500000 -2.997313 0.127505 0.106115 -3.010066 0.131136 0.101098 -3.007360 0.131334 0.100148 -3.189085 0.321193 0.163523 -2.897370 0.119685 0.098156 -2.994974 0.129037 0.100889 -3.094970 0.263359 0.171638 -2.722676 0.132591 0.119757 -2.734142 0.134053 0.118823 -2.731096 0.155179 0.117560 -2.945752 0.334482 0.163721 -2.621970 0.140826 0.133634 -2.719803 0.155470 0.117259 -2.836925 0.266747 0.191780
10.700000 -2.812492 0.094872 0.085780 -2.820577 0.095027 0.088288 -2.816370 0.098282 0.090914 -3.022557 0.276017 0.152790 -2.733912 0.094459 0.082896 -2.809024 0.097569 0.087910 -2.941108 0.248082 0.167375 -2.538836 0.144305 0.129364 -2.546716 0.146693 0.128378 -2.542155 0.153080 0.110334 -2.766258 0.319263 0.173058 -2.456577 0.132956 0.137094 -2.534612 0.153049 0.111388 -2.685801 0.283289 0.190694
10.900000 -2.626746 0.080958 0.073303 -2.633381 0.080798 0.074052 -2.627874 0.086394 0.071850 -2.840962 0.235160 0.154944 -2.553490 0.082611 0.081941 -2.620827 0.086712 0.069993 -2.782321 0.230092 0.148296 -2.356176 0.137213 0.130004 -2.363257 0.137823 0.128426 -2.356778 0.134891 0.118258 -2.563727 0.255106 0.203104 -2.275974 0.127138 0.146725 -2.350370 0.132915 0.119775 -2.508754 0.228668 0.189474
11.100000 -2.442578 0.072676 0.079572 -2.446659 0.072649 0.078164 -2.438853 0.079592 0.077941 -2.639651 0.246572 0.154747 -2.391952 0.075638 0.080382 -2.435707 0.079929 0.076531 -2.573794 0.198073 0.170012 -2.168040 0.130382 0.139215 -2.172775 0.130689 0.138701 -2.164373 0.136998 0.132311 -2.379400 0.256310 0.172915 -2.103152 0.119923 0.145780 -2.160496 0.136714 0.134643 -2.332986 0.246159 0.187166
11.300000 -2.256503 0.064219 0.082009 -2.259936 0.064624 0.083665 -2.250556 0.067770 0.078736 -2.451853 0.254997 0.165557 -2.214702 0.082500 0.075530 -2.248344 0.067751 0.076395 -2.409158 0.200052 0.197082 -1.984041 0.139065 0.152408 -1.987064 0.139207 0.150818 -1.976898 0.143587 0.135455 -2.169661 0.245277 0.186791 -1.934887 0.126431 0.158989 -1.973520 0.141874 0.136719 -2.150684 0.240576 0.201634
11.500000 -2.081016 0.053746 0.099260 -2.082200 0.055172 0.096946 -2.063328 0.059949 0.094289 -2.364390 0.292585 0.124881 -2.099219 0.082293 0.091875 -2.063485 0.061734 0.092435 -2.316873 0.287837 0.151531 -1.813778 0.137843 0.148885 -1.815595 0.137437 0.148499 -1.802389 0.152745 0.145179 -2.041053 0.287773 0.186373 -1.799767 0.154278 0.163242 -1.801593 0.153772 0.145070 -2.018848 0.254133 0.184977
11.700000 -1.896688 0.061405 0.135640 -1.892523 0.061892 0.137855 -1.863932 0.072466 0.128584 -2.244191 0.299766 0.158163 -1.961730 0.068739 0.116142 -1.865870 0.071590 0.128922 -2.222179 0.275328 0.167792 -1.644356 0.132007 0.164697 -1.640007 0.134520 0.166261 -1.615239 0.139881 0.156107 -1.962677 0.296412 0.181002 -1.724611 0.159025 0.150254 -1.619848 0.141101 0.153736 -1.941789 0.256400 0.198424
11.900000 -1.743170 0.066676 0.168999 -1.747262 0.063910 0.171535 -1.734391 0.085258 0.157096 -1.932508 0.140527 0.284800 -1.615266 0.122236 0.178159 -1.732490 0.081963 0.155476 -1.889366 0.154580 0.294829 -1.451855 0.104988 0.215289 -1.461831 0.108811 0.208190 -1.444014 0.125996 0.195705 -1.723584 0.222410 0.282475 -1.333989 0.150280 0.218139 -1.432289 0.121335 0.207604 -1.688743 0.210272 0.262405
12.100000 -1.660545 0.104198 0.209599 -1.632928 0.093153 0.231871 -1.589609 0.117846 0.192652 0.000000 0.000000 2.135668 0.000000 0.000000 0.000000 -1.607098 0.130533 0.181135 0.000000 0.000000 2.103411 -1.380481 0.134063 0.232730 -1.379495 0.131874 0.233363 -1.344070 0.158981 0.230047 0.000000 0.000000 1.937189 0.000000 0.000000 0.000000 -1.346182 0.160136 0.228989 0.000000 0.000000 1.936125
12.300000 -1.652588 0.143303 0.249609 -1.664624 0.130804 0.262205 -1.649229 0.144681 0.246182 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -1.648299 0.148044 0.230746 0.000000 0.000000 0.000000 -1.214046 0.176167 0.336616 -1.232381 0.187953 0.322552 -1.212165 0.189493 0.317657 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -1.210946 0.188273 0.296807 0.000000 0.000000 0.000000
12.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.700000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
13.900000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
14.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
