#Median UV--stellar mass relations.
#Observed stellar masses in Msun.
#Observed UV luminosities (including dust) are M_1500 [AB].
#UV_Center Median_SM Err+ Err- UV_Min UV_Max
-23.75 0 0 0 -24 -23.5
-23.25 0 0 0 -23.5 -23
-22.75 0 0 0 -23 -22.5
-22.25 0 0 0 -22.5 -22
-21.75 0 0 0 -22 -21.5
-21.25 3.09626e+09 9.78009e+08 3.09626e+09 -21.5 -21
-20.75 1.35691e+09 1.15688e+09 9.16754e+08 -21 -20.5
-20.25 6.36797e+08 5.28155e+08 3.58118e+08 -20.5 -20
-19.75 2.63615e+08 2.40316e+08 1.24085e+08 -20 -19.5
-19.25 1.20323e+08 7.95911e+07 4.89422e+07 -19.5 -19
-18.75 5.76768e+07 3.47124e+07 1.61584e+07 -19 -18.5
-18.25 2.64721e+07 1.38257e+07 444328 -18.5 -18
-17.75 1.6452e+07 1.15774e+06 97865 -18 -17.5
-17.25 1.0319e+07 80414 32081 -17.5 -17
