#Radius[Mpc] Delta_Sigma_Q/Delta_Sigma_SF Err+ Err- Delta_Sigma_SF/Delta_Sigma_All Err+ Err- Delta_Sigma_Q/Delta_Sigma_All Err+ Err-
#SM Threshold: log10 M*>10.6
#SSFR Threshold for Quenching: SSFR < 1e-11/yr
0.0173326 1 0 5.96046e-08 0.879293 0.0346529 0.0203739 1.09614 0.00518179 0.0289248
0.0231134 1 0 5.96046e-08 0.874937 0.0353592 0.0224863 1.09961 0.0081867 0.0290926
0.0308222 1 0 5.96046e-08 0.859441 0.0380481 0.0249862 1.11195 0.00725698 0.032657
0.0411021 1 0 0 0.839874 0.0419757 0.0250344 1.12754 0.00670969 0.0353903
0.0548105 1 0 0 0.820375 0.0444632 0.0264228 1.14307 0.00705779 0.0376922
0.073091 1 0 5.96046e-08 0.80123 0.0440811 0.0267306 1.15831 0.00675523 0.038378
0.0974684 1 0 0 0.778596 0.0449215 0.0267305 1.17634 0.0073911 0.0393672
0.129976 1 0 0 0.75322 0.0454254 0.0252532 1.19655 0.00528359 0.040767
0.173326 1 0 5.96046e-08 0.729239 0.0466421 0.0255681 1.21565 0.0027113 0.0425574
0.231134 1 5.96046e-08 0 0.704642 0.0436022 0.0267636 1.23524 0.00244808 0.0419315
0.308222 1 0 0 0.678036 0.0386097 0.0290093 1.25643 0.00356984 0.0407375
0.411021 1 0 0 0.65107 0.0345774 0.029258 1.27791 0.00789499 0.0386171
0.548105 1 0 5.96046e-08 0.630679 0.0280124 0.0256423 1.29415 0.0111501 0.0347745
0.73091 1 0 0 0.617163 0.0187663 0.0241628 1.30492 0.0125178 0.0319246
0.974684 1 0 5.96046e-08 0.607101 0.013913 0.0287873 1.31293 0.0150647 0.0295649
1.29976 1 5.96046e-08 0 0.603903 0.0127116 0.0323087 1.31548 0.0203278 0.0286964
1.73326 1 0 0 0.611471 0.00954002 0.034777 1.30945 0.0222628 0.0303775
2.31134 1 5.96046e-08 0 0.631507 0.0109423 0.0359743 1.29349 0.0215003 0.0301545
3.08222 1 0 0 0.647795 0.0065276 0.0356346 1.28051 0.0251071 0.0292681
4.11021 1 0 0 0.671297 0.0106289 0.0301161 1.26181 0.0182027 0.0262802
5.48105 1 0 0 0.721431 0.00735354 0.0331259 1.22188 0.018116 0.0194991
7.3091 1 0 0 0.749851 0.00813031 0.0250961 1.19922 0.0175335 0.0204116
9.74684 1 0 5.96046e-08 0.792447 0.00720859 0.0271608 1.1653 0.0184438 0.0168974
